"","Accession_ID","Integrated_P1","Integrated_P2"
"231","06C020P605","03C065P601","NA"
"232","06C043P603","02C065P602","NA"
"233","06C050P611","02C132P006","02C068P608"
"234","06C051P609","02C068P608","NA"
"235","06C066P603","02C132P006","03C072P604"
"236","06C090P605","00C139P003","NA"
"237","06C102P002","02C103P002","02C229P001"
"238","06C106P002","02C103P002","03C149P008"
"239","06C109P003","03C163P001","01C132P003"
"240","06C110P004","03C163P001","01C139P002"
"241","06C111P001","02C103P002","03C163P001"
"242","06C132P001","03C092P008","01C139P002"
"243","06C132P002","03C092P008","01C139P002"
"244","06C137P002","02C132P006","02C143P003"
"245","06C171P005","01C111P004","03C097P001"
"246","06C202P001","03C129P002","01C132P003"
"247","06C204P001","03C097P001","01C139P002"
"248","06C217P001","95C077P002","99C104P002"
"249","06C217P002","95C077P002","99C104P002"
"250","06C218P001","95C077P002","99C117P001"
"251","06C218P002","95C077P002","99C117P001"
"252","06C222P001","95C096P001","99C104P002"
"253","06C222P002","95C096P001","99C104P002"
"254","06C223P001","95C096P001","99C117P001"
"255","06C223P002","95C096P001","99C117P001"
"256","06C228P001","99C158P002","99C117P001"
"257","06C228P002","99C158P002","99C117P001"
"258","06C232P001","99C104P002","99C158P003"
"259","06C234P001","99C158P003","99C186P001"
"260","07C001P608","03C111P005","03C065P601"
"261","07C009P601","04C038P603","04C073P002"
"262","07C027P001","03C111P005","04C062P603"
"263","07C033P001","03C048P601","04C020P604"
"264","07C039P601","04C038P603","04C076P004"
"265","07C042P002","04C038P603","04C076P004"
"266","07C043P001","02C230P001","04C041P007"
"267","07C049P003","04C041P007","04C076P004"
"268","07C050P601","02C230P001","04C042P607"
"269","07C051P602","04C038P603","03C045P601"
"270","07C064P002","03C001P606","01C139P002"
"271","07C064P003","03C001P606","01C139P002"
"272","07C064P005","03C001P606","01C139P002"
"273","07C067P002","03C001P606","03C132P003"
"274","07C067P608","03C001P606","03C132P003"
"275","07C090P606","04C013P604","04C056P608"
"276","07C092P003","04C073P002","01C139P002"
"277","07C114P002","02C164P002","03C092P008"
"278","07C119P001","02C230P001","03C149P008"
"279","07C120P003","03C149P008","03C092P008"
"280","07C132P003","03C092P008","02C095P004"
"281","07C134P001","02C103P002","01C139P002"
"282","07C135P001","02C103P002","01C206P005"
"283","07C141P001","03C104P005","01C139P002"
"284","07C144P001","02C156P002","03C104P005"
"285","07C148P001","03C132P003","01C139P002"
"286","07C148P003","03C132P003","01C139P002"
"287","07C203P001","03C117P002","04C076P004"
"288","07C208P001","03C163P009","03C195P008"
"289","07C216P001","02C164P002","03C103P005"
"290","080801","PI616860","Irma"
"291","080901","PI616860","Ariel"
"292","080903","PI616860","Ariel"
"293","080904","PI616860","Ariel"
"294","082901","Irma","Salut"
"295","083101","Onebor","PI616586"
"296","084308","PI616860","Roxana"
"297","084309","PI616860","Roxana"
"298","08-A-01","NA","NA"
"299","08C005P601","04C077P002","04C039P001"
"300","08C007P601","05C097P007","03C016P601"
"301","08C013P605","04C041P006","05C117P005"
"302","08C013P606","05C117P005","04C041P006"
"303","08C014P001","05C117P005","04C041P006"
"304","08C015P002","05C097P007","05C117P005"
"305","08C017P005","05C165P001","04C039P001"
"306","08C017P607","05C165P001","04C039P001"
"307","08C018P005","05C165P001","04C041P006"
"308","08C020P602","05C097P007","05C165P001"
"309","08C037P603","04C001P601","04C041P006"
"310","08C043P001","04C041P006","05C099P006"
"311","08C043P004","04C041P006","05C099P006"
"312","08C043P010","05C099P006","04C041P006"
"313","08C047P005","04C039P001","NA"
"314","08C055P002","04C041P006","05C109P002"
"315","08C060P001","03C172P004","04C044P603"
"316","08C075P001","04C053P001","05C165P001"
"317","08C114P005","05C109P002","05C092P014"
"318","08C123P001","05C099P006","04C009P005"
"319","08C124P001","04C009P005","05C099P006"
"320","08C128P002","03C102P002","04C018P004"
"321","08C129P004","05C099P006","04C018P004"
"322","08C131P003","04C018P004","05C109P002"
"323","08C132P003","04C018P004","05C165P001"
"324","08C132P608","04C018P004","05C165P001"
"325","08C134P004","03C102P002","04C076P004"
"326","08C135P004","04C076P004","NA"
"327","08C137P001","05C109P002","04C076P004"
"328","08C137P002","05C109P002","04C076P004"
"329","08C138P002","04C076P004","05C165P001"
"330","08C138P003","04C076P004","05C165P001"
"331","08C138P603","05C165P001","04C076P004"
"332","08C144P001","05C165P001","05C117P005"
"333","08C150P009","05C165P001","05C199P010"
"334","08C181P001","03C149P008","05C206P005"
"335","08C182P002","04C039P001","05C206P005"
"336","09C001P603","03C132P003","04C044P603"
"337","09C012P605","05C165P001","04C044P603"
"338","09C012P606","05C165P001","04C044P603"
"339","09C016P601","03C132P003","06C132P002"
"340","09C020P609","05C117P005","06C132P002"
"341","09C021P001","05C165P001","06C132P002"
"342","09C030P003","05C107P002","04C041P007"
"343","09C032P601","05C107P002","04C045P605"
"344","09C032P605","04C045P605","05C107P002"
"345","09C037P001","05C120P009","04C044P603"
"346","09C048P003","04C041P007","05C197P002"
"347","09C052P601","06C137P002","03C132P003"
"348","09C054P603","06C137P002","04C041P007"
"349","09C056P602","06C137P002","04C045P605"
"350","09C056P604","06C137P002","04C045P605"
"351","09C056P608","04C045P605","06C137P002"
"352","09C061P602","04C076P004","05C154P002"
"353","09C061P606","04C076P004","05C154P002"
"354","09C061P608","04C076P004","05C154P002"
"355","09C062P001","04C076P004","05C165P001"
"356","09C063P602","06C132P002","04C076P004"
"357","09C068P602","05C165P001","05C092P011"
"358","09C076P603","05C144P003","05C097P009"
"359","09C076P606","05C144P003","05C097P009"
"360","09C078P603","05C117P005","05C144P003"
"361","09C080P605","05C165P001","05C144P003"
"362","09C085P002","05C154P002","05C172P002"
"363","09C085P601","05C154P002","05C172P002"
"364","09C088P602","05C194P001","05C097P009"
"365","09C091P001","05C154P002","05C194P001"
"366","09C097P003","03C132P003","05C194P001"
"367","09C100P003","03C132P003","05C197P002"
"368","09C103P002","05C194P001","05C197P002"
"369","09C108P002","05C197P002","05C206P005"
"370","09C108P004","05C197P002","05C206P005"
"371","09C113P002","06C137P002","05C197P002"
"372","09C115P003","03C132P003","03C148P008"
"373","09C132P003","05C107P002","05C197P002"
